date,weekday,is_holiday
2023-10-17,1,0
2023-10-18,2,0
2023-10-19,3,0
2023-10-20,4,0
2023-10-21,5,0
2023-10-22,6,0
2023-10-23,0,0
2023-10-24,1,0
2023-10-25,2,0
2023-10-26,3,0
2023-10-27,4,0
2023-10-28,5,0
2023-10-29,6,0
2023-10-30,0,0
2023-10-31,1,0
2023-11-01,2,0
2023-11-02,3,0
2023-11-03,4,0
2023-11-04,5,0
2023-11-05,6,0
2023-11-06,0,0
2023-11-07,1,0
2023-11-08,2,0
2023-11-09,3,0
2023-11-10,4,0
2023-11-11,5,0
2023-11-12,6,0
2023-11-13,0,0
2023-11-14,1,0
2023-11-15,2,0
2023-11-16,3,0
2023-11-17,4,0
2023-11-18,5,0
2023-11-19,6,0
2023-11-20,0,0
2023-11-21,1,0
2023-11-22,2,0
2023-11-23,3,0
2023-11-24,4,0
2023-11-25,5,0
2023-11-26,6,0
2023-11-27,0,0
2023-11-28,1,0
2023-11-29,2,0
2023-11-30,3,0
2023-12-01,4,0
2023-12-02,5,0
2023-12-03,6,0
2023-12-04,0,0
2023-12-05,1,0
2023-12-06,2,0
2023-12-07,3,0
2023-12-08,4,0
2023-12-09,5,0
2023-12-10,6,0
2023-12-11,0,0
2023-12-12,1,0
2023-12-13,2,0
2023-12-14,3,0
2023-12-15,4,0
2023-12-16,5,0
2023-12-17,6,0
2023-12-18,0,0
2023-12-19,1,0
2023-12-20,2,0
2023-12-21,3,0
2023-12-22,4,0
2023-12-23,5,0
2023-12-24,6,0
2023-12-25,0,1
2023-12-26,1,0
2023-12-27,2,0
2023-12-28,3,0
2023-12-29,4,0
2023-12-30,5,0
2023-12-31,6,0
